 (2.1404-0.5383j), (nan+nanj), (0.1883+0.1192j), (nan+nanj), (-0.0734+0.0413j)
 (2.1464-0.5309j), (nan+nanj), (0.1898+0.1174j), (nan+nanj), (-0.0733+0.0404j)
 (2.1523-0.5247j), (nan+nanj), (0.1914+0.1160j), (nan+nanj), (-0.0731+0.0395j)
 (2.1581-0.5198j), (nan+nanj), (0.1930+0.1151j), (nan+nanj), (-0.0728+0.0388j)
 (2.1636-0.5164j), (nan+nanj), (0.1947+0.1147j), (nan+nanj), (-0.0725+0.0381j)
 (2.1689-0.5143j), (nan+nanj), (0.1964+0.1147j), (nan+nanj), (-0.0720+0.0375j)
 (2.1737-0.5137j), (nan+nanj), (0.1981+0.1152j), (nan+nanj), (-0.0715+0.0370j)
 (2.1781-0.5145j), (nan+nanj), (0.1997+0.1160j), (nan+nanj), (-0.0709+0.0366j)
 (2.1820-0.5167j), (nan+nanj), (0.2013+0.1173j), (nan+nanj), (-0.0703+0.0363j)
 (2.1853-0.5202j), (nan+nanj), (0.2029+0.1190j), (nan+nanj), (-0.0696+0.0362j)
 (2.1880-0.5250j), (nan+nanj), (0.2043+0.1210j), (nan+nanj), (-0.0690+0.0361j)
 (2.1901-0.5310j), (nan+nanj), (0.2057+0.1234j), (nan+nanj), (-0.0683+0.0361j)
 (2.1914-0.5381j), (nan+nanj), (0.2069+0.1261j), (nan+nanj), (-0.0676+0.0362j)
 (2.1920-0.5461j), (nan+nanj), (0.2081+0.1291j), (nan+nanj), (-0.0669+0.0364j)
 (2.1919-0.5548j), (nan+nanj), (0.2090+0.1324j), (nan+nanj), (-0.0663+0.0367j)
 (2.1910-0.5642j), (nan+nanj), (0.2099+0.1359j), (nan+nanj), (-0.0656+0.0371j)
 (2.1893-0.5742j), (nan+nanj), (0.2106+0.1396j), (nan+nanj), (-0.0650+0.0375j)
 (2.1869-0.5844j), (nan+nanj), (0.2111+0.1434j), (nan+nanj), (-0.0645+0.0380j)
 (2.1839-0.5948j), (nan+nanj), (0.2115+0.1474j), (nan+nanj), (-0.0639+0.0385j)
 (2.1801-0.6053j), (nan+nanj), (0.2117+0.1514j), (nan+nanj), (-0.0635+0.0391j)
 (2.1757-0.6156j), (nan+nanj), (0.2117+0.1555j), (nan+nanj), (-0.0630+0.0397j)
 (2.1708-0.6256j), (nan+nanj), (0.2115+0.1595j), (nan+nanj), (-0.0627+0.0404j)
 (2.1653-0.6352j), (nan+nanj), (0.2111+0.1634j), (nan+nanj), (-0.0624+0.0411j)
 (2.1595-0.6442j), (nan+nanj), (0.2105+0.1672j), (nan+nanj), (-0.0621+0.0419j)
 (2.1534-0.6525j), (nan+nanj), (0.2098+0.1707j), (nan+nanj), (-0.0619+0.0426j)
 (2.1471-0.6599j), (nan+nanj), (0.2088+0.1739j), (nan+nanj), (-0.0618+0.0434j)
 (2.1407-0.6664j), (nan+nanj), (0.2076+0.1768j), (nan+nanj), (-0.0618+0.0441j)
 (2.1344-0.6719j), (nan+nanj), (0.2062+0.1792j), (nan+nanj), (-0.0618+0.0449j)
 (2.1282-0.6762j), (nan+nanj), (0.2047+0.1811j), (nan+nanj), (-0.0619+0.0456j)
 (2.1222-0.6793j), (nan+nanj), (0.2029+0.1825j), (nan+nanj), (-0.0621+0.0463j)
 (2.1166-0.6812j), (nan+nanj), (0.2010+0.1832j), (nan+nanj), (-0.0624+0.0470j)
 (2.1115-0.6818j), (nan+nanj), (0.1990+0.1832j), (nan+nanj), (-0.0628+0.0476j)
 (2.1069-0.6810j), (nan+nanj), (0.1969+0.1825j), (nan+nanj), (-0.0633+0.0481j)
 (2.1030-0.6790j), (nan+nanj), (0.1947+0.1810j), (nan+nanj), (-0.0638+0.0486j)
 (2.0998-0.6756j), (nan+nanj), (0.1925+0.1788j), (nan+nanj), (-0.0644+0.0489j)
 (2.0974-0.6709j), (nan+nanj), (0.1904+0.1758j), (nan+nanj), (-0.0651+0.0492j)
 (2.0959-0.6651j), (nan+nanj), (0.1884+0.1723j), (nan+nanj), (-0.0659+0.0493j)
 (2.0952-0.6580j), (nan+nanj), (0.1866+0.1681j), (nan+nanj), (-0.0667+0.0494j)
 (2.0953-0.6500j), (nan+nanj), (0.1851+0.1635j), (nan+nanj), (-0.0675+0.0492j)
 (2.0963-0.6410j), (nan+nanj), (0.1839+0.1587j), (nan+nanj), (-0.0683+0.0490j)
 (2.0982-0.6312j), (nan+nanj), (0.1831+0.1537j), (nan+nanj), (-0.0692+0.0486j)
 (2.1008-0.6208j), (nan+nanj), (0.1825+0.1486j), (nan+nanj), (-0.0700+0.0481j)
 (1.9378-0.4596j), (nan+nanj), (nan+nanj), (-0.1256+0.0662j), (0.1259+0.0433j)
 (1.9430-0.4432j), (nan+nanj), (nan+nanj), (-0.1269+0.0637j), (0.1265+0.0416j)
 (1.9486-0.4263j), (nan+nanj), (nan+nanj), (-0.1281+0.0611j), (0.1271+0.0399j)
 (1.9547-0.4092j), (nan+nanj), (nan+nanj), (-0.1290+0.0584j), (0.1279+0.0383j)
 (1.9610-0.3924j), (nan+nanj), (nan+nanj), (-0.1296+0.0557j), (0.1287+0.0369j)
 (1.9673-0.3761j), (nan+nanj), (nan+nanj), (-0.1300+0.0531j), (0.1296+0.0356j)
 (1.9737-0.3607j), (nan+nanj), (nan+nanj), (-0.1301+0.0506j), (0.1306+0.0345j)
 (1.9800-0.3466j), (nan+nanj), (nan+nanj), (-0.1299+0.0482j), (0.1317+0.0336j)
 (1.9862-0.3341j), (nan+nanj), (nan+nanj), (-0.1295+0.0460j), (0.1328+0.0328j)
 (1.9921-0.3232j), (nan+nanj), (nan+nanj), (-0.1289+0.0441j), (0.1340+0.0322j)
 (1.9978-0.3143j), (nan+nanj), (nan+nanj), (-0.1281+0.0425j), (0.1352+0.0319j)
 (2.0032-0.3075j), (nan+nanj), (nan+nanj), (-0.1272+0.0412j), (0.1364+0.0318j)
 (2.0082-0.3028j), (nan+nanj), (nan+nanj), (-0.1261+0.0401j), (0.1375+0.0319j)
 (2.0128-0.3003j), (nan+nanj), (nan+nanj), (-0.1249+0.0394j), (0.1387+0.0323j)
 (2.0169-0.2999j), (nan+nanj), (nan+nanj), (-0.1237+0.0389j), (0.1398+0.0329j)
